site	month	year	mnthyr	people	boats	pets	abund	index_1	index_2
S1	Febrero	A1	feb-21	0	0	0	2.0	0	0
S2	Febrero	A1	feb-21	1	2	0	4.0	0.006024096	0.222222222
S3	Febrero	A1	feb-21	1	0	0	1.0	0.003012048	0.111111111
S4	Febrero	A1	feb-21	5	1	0	3.0	0.006024096	0.222222222
S5	Febrero	A1	feb-21	8	2	4	1.0	0.015060241	0.555555556
S1	Marzo 	A1	mar-21	6	3	0	1.0	0.012048193	0.444444444
S2	Marzo 	A1	mar-21	4	1	0	4.0	0.006024096	0.222222222
S3	Marzo 	A1	mar-21	0	0	0	1.0	0	0
S4	Marzo 	A1	mar-21	0	0	0	5.0	0	0
S5	Marzo 	A1	mar-21	5	0	0	0.0	0.003012048	0.111111111
S1	Abril	A1	abr-21	0	0	0	2.0	0	0
S2	Abril	A1	abr-21	0	0	0	3.0	0	0
S3	Abril	A1	abr-21	5	1	0	2.0	0.006024096	0.222222222
S4	Abril	A1	abr-21	0	1	0	1.0	0.003012048	0.111111111
S5	Abril	A1	abr-21	7	0	1	1.0	0.009036145	0.333333333
S6	Abril	A1	abr-21	0	0	0	2.0	0	0
S1	Mayo 	A1	may-21	9	0	0	3.0	0.006024096	0.222222222
S2	Mayo 	A1	may-21	0	1	0	4.0	0.003012048	0.111111111
S3	Mayo 	A1	may-21	4	1	0	1.0	0.006024096	0.222222222
S4	Mayo 	A1	may-21	0	0	0	2.0	0	0
S5	Mayo 	A1	may-21	0	0	4	0.0	0.006024096	0.222222222
S6	Mayo 	A1	may-21	0	0	0	2.0	0	0
S1	Junio 	A1	jun-21	0	0	0	2.0	0	0
S2	Junio 	A1	jun-21	0	0	0	3.0	0	0
S3	Junio 	A1	jun-21	6	1	0	2.0	0.009036145	0.333333333
S4	Junio 	A1	jun-21	0	0	0	4.0	0	0
S5	Junio 	A1	jun-21	2	0	0	1.0	0.003012048	0.111111111
S6	Junio 	A1	jun-21	0	0	0	1.0	0	0
S1	Julio	A1	jul-21	2	1	1	2.0	0.009036145	0.333333333
S2	Julio	A1	jul-21	1	1	0	2.0	0.006024096	0.222222222
S3	Julio	A1	jul-21	7	8	1	1.0	0.018072289	0.666666667
S4	Julio	A1	jul-21	4	1	0	7.0	0.006024096	0.222222222
S5	Julio	A1	jul-21	1	1	0	3.0	0.006024096	0.222222222
S6	Julio	A1	jul-21	0	0	0	2.0	0	0
S1	Agosto	A1	ago-21	0	0	0	5.0	0	0
S2	Agosto	A1	ago-21	0	0	0	3.0	0	0
S3	Agosto	A1	ago-21	17	3	0	0.0	0.015060241	0.555555556
S4	Agosto	A1	ago-21	0	1	0	3.0	0.003012048	0.111111111
S5	Agosto	A1	ago-21	4	1	0	2.0	0.006024096	0.222222222
S6	Agosto	A1	ago-21	0	0	1	3.0	0.003012048	0.111111111
S1	Septiembre	A1	sept-21	0	0	0	3.0	0	0
S2	Septiembre	A1	sept-21	0	0	0	3.0	0	0
S3	Septiembre	A1	sept-21	7	0	0	1.0	0.006024096	0.222222222
S4	Septiembre	A1	sept-21	0	0	0	4.0	0	0
