site	transect	smallr	medr	larger	vlarger	reef	pendiente_p
S1	T1	0	0	0	6	1	157.56
S1	T2	6	1	0	2	0	111.74
S1	T3	0	0	0	4	1	110.82
S1	T4	15	0	0	2	0	131.31
S1	T5	64	0	0	3	4	120.02
S1	T6	298	11	1	0	2	26.24
S1	T7	154	2	0	3	0	38.32
S1	T8	302	11	2	1	0	22.11
S1	T9	363	6	0	0	0	18.78
S1	T10	42	0	0	0	0	18.28
S1	T11	84	1	3	0	0	23.92
S2	T1	44	0	0	0	0	6.92
S2	T2	191	0	0	0	4	12.31
S2	T3	385	0	0	0	0	17.29
S2	T4	363	13	2	0	0	17.56
S2	T5	487	15	7	2	0	20.4
S2	T6	0	0	0	1	3	4.59
S2	T7	0	0	0	1	0	23.76
S2	T8	176	2	0	0	1	10.19
S2	T9	112	3	5	1	0	16.29
S2	T10	83	6	2	2	1	25.09
S3	T1	0	0	0	2	2	45.72
S3	T2	33	0	0	2	1	51.16
S3	T3	104	0	0	2	1	28.93
S3	T4	64	0	0	3	1	12.39
S3	T5	23	0	0	3	2	54.12
S3	T6	8	0	0	0	1	16.6
S3	T7	42	0	0	0	1	25.26
S3	T8	10	0	1	2	4	7.81
S3	T9	35	0	0	1	5	23.58
S3	T10	13	0	0	1	1	7.96
S4	T1	0	0	0	1	3	49.73
S4	T2	0	0	0	1	0	27.53
S4	T3	0	0	0	1	0	11.62
S4	T4	0	0	4	1	0	40.6
S4	T5	87	4	5	0	3	14.34
S4	T6	0	0	0	1	0	9.09
S4	T7	335	20	8	1	2	8.45
S4	T8	0	0	0	1	0	27.11
S4	T9	0	0	0	1	0	28.43
S4	T10	0	0	0	1	2	95.81
S4	T11	0	0	0	1	1	53.95
S5	T1	137	1	0	0	0	14.1
S5	T2	68	9	5	0	0	3.4
S5	T3	187	9	13	0	0	16.3
S5	T4	30	5	7	1	0	14.45
S5	T5	224	0	3	1	0	17.09
S5	T6	2	0	5	1	0	9.52
S5	T7	7	0	0	2	0	5.08
S5	T8	35	12	15	3	0	6.1
S5	T9	49	0	3	1	2	9.87
S5	T10	99	7	5	1	0	6.51
S6	T1	1	0	0	0	0	8.39
S6	T2	9	0	0	0	0	5.62
S6	T3	2	0	0	0	0	26.31
S6	T4	118	5	0	1	0	1.52
S6	T5	0	0	0	4	0	31.08
S6	T6	5	0	4	1	0	74.39
S6	T7	0	0	0	1	0	49.87
S6	T8	0	0	0	2	0	12.5
S6	T9	80	1	0	0	1	22.44
S6	T10	149	1	0	0	1	15.15
S6	T11	105	0	0	1	0	25.64
