abund	site	month	people	boats	pets	algae
1	S1	feb	0	0	0	0
4	S2	feb	3	1	0	0
1	S3	feb	1	0	0	2
3	S4	feb	9	1	0	1
1	S5	feb	7	2	4	0
1	S1	mar	7	3	0	0
4	S2	mar	4	2	0	0
1	S3	mar	0	0	0	0
5	S4	mar	0	0	0	0
0	S5	mar	3	0	0	1
2	S1	apr	0	0	0	0
3	S2	apr	0	0	0	0
2	S3	apr	9	1	0	0
1	S4	apr	5	1	0	0
1	S5	apr	7	0	1	0
2	S6	apr	0	0	0	0
3	S1	may	9	0	0	0
4	S2	may	2	1	0	1
1	S3	may	4	1	0	0
2	S4	may	0	0	4	0
0	S5	may	0	0	0	0
2	S6	may	0	0	0	0
2	S1	jun	0	0	0	0
3	S2	jun	0	0	0	0
2	S3	jun	9	1	0	0
4	S4	jun	0	0	0	0
1	S5	jun	2	0	0	0
1	S6	jun	0	0	0	0
2	S1	jul	5	1	2	0
2	S2	jul	3	1	0	0
1	S3	jul	6	8	1	0
7	S4	jul	5	1	0	0
3	S5	jul	3	1	0	0
2	S6	jul	0	0	0	0
