site	month	abund	people	boats	pets	algae	distindx
1	feb	2	0	0	0	0	0
2	feb	4	1	1	0	0	0.5
3	feb	1	1	0	0	2	0.75
4	feb	3	2	1	0	1	1
5	feb	0.8	2	1	2	0	1.25
1	mar 	1	3	1	0	0	1
2	mar 	4	1	1	0	0	0.5
3	mar 	1	0	0	0	0	0
4	mar 	5	0	0	0	0	0
5	mar 	0	1	0	0	1	0.5
1	apr	2	0	0	0	0	0
2	apr	3	0	0	0	0	0
3	apr	2	3	1	0	0	1
4	apr	1	0	1	0	0	0.25
5	apr	0.8	3	0	1	0	1
6	apr	2	0	0	0	0	0
1	may 	3	3	0	0	0	0.75
2	may 	4	1	1	0	1	0.75
3	may 	1	2	1	0	0	0.75
4	may 	2	0	0	2	0	0.5
5	may 	0	0	0	0	0	0
6	may 	2	0	0	0	0	0
1	jun 	2	0	0	0	0	0
2	jun 	3	0	0	0	0	0
3	jun 	2	2	1	0	1	1
4	jun 	4	0	0	0	0	0
5	jun 	0.8	1	0	0	0	0.25
6	jun 	1	0	0	0	0	0
1	jul	2	1	1	1	0	0.75
2	jul	2	1	1	0	0	0.5
3	jul	1	2	3	1	0	1.5
4	jul	7	2	1	0	0	0.75
5	jul	2.3	1	1	0	0	0.5
6	jul	2	0	0	0	0	0
