site	month	abund	people	boats	pets	algae
1	feb	2	SP	SP	SP	SP
2	feb	4	low	low	SP	SP
3	feb	1	low	SP	SP	medium
4	feb	3	medium	low	SP	low
5	feb	0.8	medium	low	medium	SP
1	mar 	1	high	low	SP	SP
2	mar 	4	low	low	SP	SP
3	mar 	1	SP	SP	SP	SP
4	mar 	5	SP	SP	SP	SP
5	mar 	0	low	SP	SP	low
1	apr	2	SP	SP	SP	SP
2	apr	3	SP	SP	SP	SP
3	apr	2	high	low	SP	SP
4	apr	1	SP	low	SP	SP
5	apr	0.8	high	SP	low	SP
6	apr	2	sp	SP	SP	SP
1	may 	3	high	SP	SP	SP
2	may 	4	low	low	SP	low
3	may 	1	medium	low	SP	SP
4	may 	2	SP	SP	medium	SP
5	may 	0	SP	SP	SP	SP
6	may 	2	SP	SP	SP	SP
1	jun 	2	SP	SP	SP	SP
2	jun 	3	SP	SP	SP	SP
3	jun 	2	medium	low	SP	low
4	jun 	4	SP	SP	SP	SP
5	jun 	0.8	low	SP	SP	SP
6	jun 	1	SP	SP	SP	SP
1	jul	2	low	low	low	SP
2	jul	2	low	low	SP	SP
3	jul	1	medium	high	low	SP
4	jul	7	medium	low	SP	SP
5	jul	2.3	low	low	SP	SP
6	jul	2	SP	SP	SP	SP
