site	month	abund	people	boats	pets	algae	peopleC	boatsC	petsC	algaeC	peopleB	boatsB	petsB	algaeB	distindx
S1	feb	2.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S2	feb	4.0	1	2	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S3	feb	1.0	1	0	0	2	CP	SP	SP	CP	1	0	0	1	0.026315789
S4	feb	3.0	5	1	0	1	CP	CP	SP	CP	1	1	0	1	0.039473684
S5	feb	0.8	5	2	3	0	CP	CP	CP	SP	1	1	1	0	0.039473684
S1	mar 	1.0	7	3	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S2	mar 	4.0	2	2	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S3	mar 	1.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S4	mar 	5.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S5	mar 	0.0	3	0	0	1	CP	SP	SP	CP	1	0	0	1	0.026315789
S1	apr	2.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S2	apr	3.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S3	apr	2.0	7	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S4	apr	1.0	0	1	0	0	SP	CP	SP	SP	0	1	0	0	0.013157895
S5	apr	0.8	7	0	1	0	CP	SP	CP	SP	1	0	1	0	0.026315789
S6	apr	2.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S1	may 	3.0	9	0	0	0	CP	SP	SP	SP	1	0	0	0	0.013157895
S2	may 	4.0	1	1	0	1	CP	CP	SP	SP	1	1	0	0	0.026315789
S3	may 	1.0	4	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S4	may 	2.0	0	0	4	0	SP	SP	CP	SP	0	0	1	0	0.013157895
S5	may 	0.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S6	may 	2.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S1	jun 	2.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S2	jun 	3.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S3	jun 	2.0	6	1	0	1	CP	CP	SP	CP	1	1	0	1	0.039473684
S4	jun 	4.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S5	jun 	0.8	2	0	0	0	CP	SP	SP	SP	1	0	0	0	0.013157895
S6	jun 	1.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S1	jul	2.0	3	1	1	0	CP	CP	CP	SP	1	1	1	0	0.039473684
S2	jul	2.0	1	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S3	jul	1.0	6	8	1	0	CP	CP	CP	SP	1	1	1	0	0.039473684
S4	jul	7.0	5	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S5	jul	2.3	1	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S6	jul	2.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S1	aug	5.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S2	aug	3.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S3	aug	0.0	18	3	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S4	aug	3.0	0	1	0	0	SP	CP	SP	SP	0	1	0	0	0.013157895
S5	aug	1.5	4	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
