site	month	year	mnthyr	people	boats	pets	people_WF	boats_WF	pets_WF	Sum_WF	index_1	index_2	abund
S1	feb	A1	feb-21	0	0	0	0	0	0	0	0	0	2
S2	feb	A1	feb-21	0	2	0	0	1	0	1	0.004464286	0.008928571	4
S3	feb	A1	feb-21	1	0	0	1	0	0	1	0.004464286	0.004464286	1
S4	feb	A1	feb-21	5	1	0	2	1	0	3	0.013392857	0.049107143	3
S5	feb	A1	feb-21	7	2	4	3	1	2	6	0.026785714	0.138392857	1
S1	mar	A1	mar-21	6	3	0	2	2	0	4	0.017857143	0.080357143	1
S2	mar	A1	mar-21	4	2	0	2	1	0	3	0.013392857	0.044642857	4
S3	mar	A1	mar-21	0	0	0	0	0	0	0	0	0	1
S4	mar	A1	mar-21	0	0	0	0	0	0	0	0	0	5
S5	mar	A1	mar-21	5	0	0	2	0	0	2	0.008928571	0.044642857	0
S1	abr	A1	abr-21	0	0	0	0	0	0	0	0	0	2
S2	abr	A1	abr-21	0	0	0	0	0	0	0	0	0	3
S3	abr	A1	abr-21	5	1	0	2	1	0	3	0.013392857	0.049107143	2
S4	abr	A1	abr-21	0	1	0	0	1	0	1	0.004464286	0.004464286	1
S5	abr	A1	abr-21	7	0	1	3	0	1	4	0.017857143	0.098214286	1
S6	abr	A1	abr-21	0	0	0	0	0	0	0	0	0	2
S1	may	A1	may-21	9	0	0	3	0	0	3	0.013392857	0.120535714	3
S2	may	A1	may-21	0	1	0	0	1	0	1	0.004464286	0.004464286	4
S3	may	A1	may-21	4	1	0	2	1	0	3	0.013392857	0.040178571	1
S4	may	A1	may-21	0	0	0	0	0	0	0	0	0	2
S5	may	A1	may-21	0	0	4	0	0	2	2	0.008928571	0.035714286	0
S6	may	A1	may-21	0	0	0	0	0	0	0	0	0	2
S1	jun	A1	jun-21	0	0	0	0	0	0	0	0	0	2
S2	jun	A1	jun-21	0	0	0	0	0	0	0	0	0	3
S3	jun	A1	jun-21	6	1	0	2	1	0	3	0.013392857	0.058035714	2
S4	jun	A1	jun-21	0	0	0	0	0	0	0	0	0	4
S5	jun	A1	jun-21	2	0	0	1	0	0	1	0.004464286	0.008928571	1
S6	jun	A1	jun-21	0	0	0	0	0	0	0	0	0	1
S1	jul	A1	jul-21	2	1	1	1	1	1	3	0.013392857	0.017857143	2
S2	jul	A1	jul-21	1	1	0	1	1	0	2	0.008928571	0.008928571	2
S3	jul	A1	jul-21	7	8	1	3	3	1	7	0.03125	0.205357143	1
S4	jul	A1	jul-21	4	1	0	2	1	0	3	0.013392857	0.040178571	7
S5	jul	A1	jul-21	1	1	0	1	1	0	2	0.008928571	0.008928571	3
S6	jul	A1	jul-21	0	0	0	0	0	0	0	0	0	2
S1	aug	A1	ago-21	0	0	0	0	0	0	0	0	0	5
S2	aug	A1	ago-21	0	0	0	0	0	0	0	0	0	3
S3	aug	A1	ago-21	17	3	0	3	2	0	5	0.022321429	0.254464286	0
S4	aug	A1	ago-21	0	1	0	0	1	0	1	0.004464286	0.004464286	3
S5	aug	A1	ago-21	4	1	0	2	1	0	3	0.013392857	0.040178571	2
S6	aug	A1	ago-21	0	0	1	0	0	1	1	0.004464286	0.004464286	3
S1	sep	A1	sept-21	0	0	0	0	0	0	0	0	0	3
S2	sep	A1	sept-21	0	0	0	0	0	0	0	0	0	3
S3	sep	A1	sept-21	7	0	0	3	0	0	3	0.013392857	0.09375	1
S4	sep	A1	sept-21	0	0	0	0	0	0	0	0	0	4
S5	sep	A1	sept-21	0	0	0	0	0	0	0	0	0	1
S6	sep	A1	sept-21	0	0	0	0	0	0	0	0	0	1
S1	oct	A1	oct-21	2	0	0	2	0	0	2	0.008928571	0.017857143	3
S2	oct	A1	oct-21	0	0	0	0	0	0	0	0	0	4
S3	oct	A1	oct-21	3	4	0	1	2	0	3	0.013392857	0.049107143	1
S4	oct	A1	oct-21	0	1	0	0	1	0	1	0.004464286	0.004464286	3
S5	oct	A1	oct-21	19	0	6	3	0	3	6	0.026785714	0.334821429	3
S6	oct	A1	oct-21	0	0	0	0	0	0	0	0	0	2
S1	nov	A1	nov-21	0	0	0	0	0	0	0	0	0	3
S2	nov	A1	nov-21	0	0	0	0	0	0	0	0	0	5
S3	nov	A1	nov-21	4	0	0	2	0	0	2	0.008928571	0.035714286	0
S4	nov	A1	nov-21	1	1	0	1	1	0	2	0.008928571	0.008928571	3
S5	nov	A1	nov-21	12	1	0	3	1	0	4	0.017857143	0.165178571	1
S6	nov	A1	nov-21	0	0	0	0	0	0	0	0	0	3
S1	dec	A1	dic-21	0	0	0	0	0	0	0	0	0	2
S2	dec	A1	dic-21	0	1	0	0	1	0	1	0.004464286	0.004464286	5
S3	dec	A1	dic-21	3	1	0	1	1	0	2	0.008928571	0.017857143	1
S4	dec	A1	dic-21	4	1	0	2	1	0	3	0.013392857	0.040178571	4
S5	dec	A1	dic-21	10	0	2	3	0	1	4	0.017857143	0.142857143	2
S6	dec	A1	dic-21	0	0	0	0	0	0	0	0	0	5
S1	jan	A1	ene-22	2	1	0	1	1	0	2	0.008928571	0.013392857	2
S2	jan	A1	ene-22	6	0	1	2	0	1	3	0.013392857	0.058035714	3
S3	jan	A1	ene-22	3	1	0	1	1	0	2	0.008928571	0.017857143	1
S4	jan	A1	ene-22	0	0	0	0	0	0	0	0	0	2
S5	jan	A1	ene-22	5	0	1	2	0	1	3	0.013392857	0.049107143	2
S6	jan	A1	ene-22	6	0	0	2	0	0	2	0.008928571	0.053571429	2
S1	feb	A2	feb-22	0	0	0	0	0	0	0	0	0	2
S2	feb	A2	feb-22	0	0	0	0	0	0	0	0	0	6
S3	feb	A2	feb-22	8	2	0	3	1	0	4	0.017857143	0.116071429	1
S4	feb	A2	feb-22	0	0	0	0	0	0	0	0	0	3
S5	feb	A2	feb-22	10	0	1	3	0	1	4	0.017857143	0.138392857	0
S6	feb	A2	feb-22	0	0	0	0	0	0	0	0	0	4
S1	mar	A2	mar-22	0	0	0	0	0	0	0	0	0	3
S2	mar	A2	mar-22	0	2	0	0	1	0	1	0.004464286	0.008928571	4
S3	mar	A2	mar-22	4	0	0	2	0	0	2	0.008928571	0.035714286	1
S4	mar	A2	mar-22	0	1	0	0	1	0	1	0.004464286	0.004464286	4
S5	mar	A2	mar-22	4	1	0	2	1	0	3	0.013392857	0.040178571	1
S6	mar	A2	mar-22	0	1	0	0	1	0	1	0.004464286	0.004464286	6
S1	abr	A2	abr-22	0	0	0	0	0	0	0	0	0	2
S2	abr	A2	abr-22	0	0	0	0	0	0	0	0	0	3
S3	abr	A2	abr-22	1	0	1	1	0	1	2	0.008928571	0.008928571	4
S4	abr	A2	abr-22	10	0	1	3	0	1	4	0.017857143	0.138392857	2
S5	abr	A2	abr-22	0	0	0	0	0	0	0	0	0	1
S6	abr	A2	abr-22	6	1	1	2	1	1	4	0.017857143	0.0625	5
S1	may	A2	may-22	2	0	0	1	0	0	1	0.004464286	0.008928571	2
S2	may	A2	may-22	0	0	0	0	0	0	0	0	0	8
