site	transect	smallr	medr	larger	rock_is	caves	cracks	dist	slope
S1	T1	61	35	19	2	3	1	15	14
S1	T2	77	11	1	2	0	0	19	19
S1	T3	219	50	10	0	2	0	10	10
S2	T3	69	29	39	4	27	3	11	7
S2	T1	165	38	16	0	2	0	15	13
S2	T2	168	47	23	3	11	1	13	14
S3	T3	12	5	0	2	0	0	40	1
S3	T7	17	5	6	6	0	1	40	2
S3	T1	71	48	23	9	6	3	38	2
S4	T2	128	47	10	8	5	2	40	4
S4	T3	1	1	2	1	0	1	40	45
S4	T6	231	20	15	1	7	0	40	6
S5	T8	69	25	10	3	3	2	40	4
S5	T2	237	52	16	8	2	0	10	9
S5	T5	43	9	3	3	1	0	25	5
S6	T1	88	8	1	2	1	0	9	6
S6	T3	51	28	47	2	18	1	6.9	19
S6	T5	17	0	0	1	0	0	40	6
